Date,Open,High,Low,Close,Adj Close,Volume
2018-08-02,null,null,null,null,null,null
2018-08-03,348.200012,354.600006,346.600006,349.799988,349.799988,30270747
2018-08-06,357.799988,357.799988,350.000000,353.000000,353.000000,21446403
2018-08-07,355.000000,358.399994,348.600006,357.000000,357.000000,18131302
2018-08-08,366.600006,366.600006,360.600006,364.000000,364.000000,25449715
2018-08-09,367.000000,375.399994,365.000000,372.600006,372.600006,26626507
2018-08-10,375.399994,375.600006,364.600006,370.000000,370.000000,19525508
2018-08-13,363.000000,364.600006,360.200012,361.000000,361.000000,16951441
2018-08-14,355.000000,358.000000,341.799988,348.600006,348.600006,40167471
2018-08-15,343.000000,344.000000,335.000000,336.000000,336.000000,37288416
2018-08-16,320.000000,332.600006,319.000000,325.799988,325.799988,69246930
2018-08-17,335.000000,338.799988,333.600006,337.000000,337.000000,42698939
2018-08-20,343.200012,352.399994,342.399994,350.799988,350.799988,34973182
2018-08-21,355.000000,355.000000,345.600006,350.600006,350.600006,22787446
2018-08-22,354.000000,360.600006,349.399994,359.399994,359.399994,28940119
2018-08-23,363.000000,363.200012,354.000000,359.000000,359.000000,20061919
2018-08-24,353.000000,358.000000,352.600006,354.000000,354.000000,17545124
2018-08-27,359.399994,361.000000,356.200012,361.000000,361.000000,13959775
2018-08-28,365.000000,368.799988,361.399994,365.399994,365.399994,20573345
2018-08-29,365.000000,366.000000,357.799988,360.799988,360.799988,15732722
2018-08-30,361.200012,362.600006,355.399994,357.399994,357.399994,12131375
2018-08-31,339.600006,343.600006,338.000000,340.000000,340.000000,51544845
